iter	Logloss
0	0.6903080388
1	0.6877014485
2	0.6853003694
3	0.6830662331
4	0.6809454636
5	0.6790991976
6	0.6774116638
7	0.6758178138
8	0.6744399028
9	0.6732014563
10	0.6722641884
11	0.6714639082
12	0.6705696265
13	0.6697102964
14	0.6690144355
15	0.6681947788
16	0.6676050108
17	0.6669725175
18	0.6662681489
19	0.6657863755
20	0.6653916589
21	0.6648026412
22	0.6642744272
23	0.6638419695
24	0.6635538216
25	0.6630417631
26	0.6626906861
27	0.6622666842
28	0.6619500679
29	0.6614918439
30	0.6612025747
31	0.6608902358
32	0.6606376319
33	0.660379078
34	0.6601469557
35	0.6598865691
36	0.6595467625
37	0.6592502365
38	0.6590478654
39	0.6588676842
40	0.6586560271
41	0.6585076724
42	0.6582181011
43	0.6580017927
44	0.6577471184
45	0.6575316697
46	0.6573694226
47	0.657206641
48	0.657106418
49	0.6568847582
50	0.656733518
51	0.6565366728
52	0.6563086088
53	0.6560934385
54	0.6559452386
55	0.6558221649
56	0.6556842628
57	0.6555289931
58	0.6553568683
59	0.6551790691
60	0.6550681758
61	0.6549091805
62	0.6547488054
63	0.6545904051
64	0.6544794136
65	0.6543614649
66	0.6542224336
67	0.6540871456
68	0.6538989437
69	0.6537591956
70	0.6536328655
71	0.6534556954
72	0.6532812741
73	0.6531714611
74	0.6529858274
75	0.6528670682
76	0.6528015576
77	0.6527785141
78	0.6526371678
79	0.6524224131
80	0.652301176
81	0.6521896671
82	0.652012937
83	0.6518931759
84	0.651744189
85	0.6515830719
86	0.6514383034
87	0.6513201406
88	0.6512206277
89	0.6511098679
90	0.6510243153
91	0.6508661983
92	0.6507355326
93	0.6506059301
94	0.650469189
95	0.6503369331
96	0.6502087165
97	0.6501071661
98	0.6500351249
99	0.6498575092
100	0.6497655294
101	0.6496892685
102	0.6496282091
103	0.6494910892
104	0.6493765877
105	0.6492535884
106	0.6491116011
107	0.6489742594
108	0.6488984623
109	0.6487938924
110	0.6486878266
111	0.6485744992
112	0.6485537261
113	0.6483847568
114	0.6483768814
115	0.6482356388
116	0.6481243573
117	0.6480414029
118	0.6479203822
119	0.6477885213
120	0.6476804397
121	0.6475448878
122	0.6474540839
123	0.6473862159
124	0.6472849421
125	0.6471815875
126	0.6470957366
127	0.6470051399
128	0.6468552104
129	0.6467238096
130	0.6466190287
131	0.6465043783
132	0.6463860189
133	0.6463473036
134	0.6462753148
135	0.6461311526
136	0.6459941066
137	0.6459039099
138	0.6457778975
139	0.6456962721
140	0.6455995544
141	0.6454848933
142	0.6453832038
143	0.6452867346
144	0.6451577773
145	0.645051416
146	0.6450238341
147	0.6449275419
148	0.6448398915
149	0.6447830804
150	0.6447084337
151	0.6446071512
152	0.6445383434
153	0.6444110121
154	0.6443290975
155	0.6442256534
156	0.6441696673
157	0.6440984032
158	0.643990189
159	0.6438693554
160	0.6437710237
161	0.6436998666
162	0.6435974749
163	0.6434939308
164	0.6434096932
165	0.6432448636
166	0.6431799424
167	0.643099974
168	0.6430187922
169	0.6429129084
170	0.6428841931
171	0.6428370204
172	0.6428202015
173	0.6427404975
174	0.6426438458
175	0.64256359
176	0.6424824733
177	0.6423754466
178	0.6422318839
179	0.6421136884
180	0.642000754
181	0.6419288911
182	0.6418453388
183	0.6417277086
184	0.6416607199
185	0.6415637197
186	0.6415220415
187	0.6414333422
188	0.6413090072
189	0.6412290816
190	0.641146514
191	0.6410498547
192	0.6409426856
193	0.6408503047
194	0.6407387484
195	0.6405993527
196	0.6404944673
197	0.640433019
198	0.6403355634
199	0.6402485772
200	0.6401513436
201	0.6400774944
202	0.6399768647
203	0.6399128232
204	0.6398462267
205	0.639773295
206	0.6397160808
207	0.639620781
208	0.6395549743
209	0.6394245308
210	0.6392865438
211	0.6391848709
212	0.6390196911
213	0.6389062528
214	0.6387967116
215	0.6386826287
216	0.6385521767
217	0.6384472267
218	0.6383770008
219	0.6383035684
220	0.6382350042
221	0.6381607803
222	0.6380436729
223	0.6379458952
224	0.6378342619
225	0.6377534485
226	0.6376468615
227	0.6375340197
228	0.6374586839
229	0.6373791762
230	0.6373270787
231	0.6372143124
232	0.6371068151
233	0.6370015651
234	0.6368776521
235	0.6367747681
236	0.6366844781
237	0.6366084342
238	0.6364933597
239	0.6364209597
240	0.6362962996
241	0.6362088452
242	0.6361003877
243	0.636013698
244	0.635934927
245	0.6358382735
246	0.6357580207
247	0.6356647204
248	0.6355649682
249	0.6354381067
250	0.635288196
251	0.6351659753
252	0.6350496407
253	0.6349681813
254	0.6348944529
255	0.6347557739
256	0.6346312389
257	0.6345346047
258	0.634443061
259	0.6343356582
260	0.634229631
261	0.6341366119
262	0.6340201995
263	0.6339003287
264	0.6338137382
265	0.6337340011
266	0.633612734
267	0.6335068427
268	0.6333910001
269	0.6332929409
270	0.633176585
271	0.6330528217
272	0.632961613
273	0.632886069
274	0.6327782041
275	0.6326742206
276	0.6325924835
277	0.6324781618
278	0.632398454
279	0.6322679652
280	0.632191832
281	0.6320770731
282	0.6319743474
283	0.631899738
284	0.6318086036
285	0.6317236073
286	0.6316421798
287	0.6315510888
288	0.6314791175
289	0.6313577491
290	0.6312839781
291	0.6311879111
292	0.6310695773
293	0.630931394
294	0.630856283
295	0.6307598343
296	0.6306582253
297	0.6305655104
298	0.6304456174
299	0.6303323036
300	0.6302438608
301	0.6301221157
302	0.6300206567
303	0.6299583621
304	0.6298053373
305	0.6297386501
306	0.6296558675
307	0.6295980379
308	0.6295086939
309	0.6294168973
310	0.6293074839
311	0.6292072309
312	0.6290937514
313	0.6289830997
314	0.6288985816
315	0.6288036538
316	0.628692667
317	0.628603902
318	0.6285032801
319	0.6283897163
320	0.6282653855
321	0.6281685236
322	0.6280711649
323	0.6280036133
324	0.6279100549
325	0.6278231627
326	0.6277255171
327	0.6276439782
328	0.6275779246
329	0.6274691899
330	0.6273933423
331	0.6273137903
332	0.627223482
333	0.6271326774
334	0.6270439571
335	0.6269214249
336	0.6268071674
337	0.6267237259
338	0.6266533217
339	0.6265586951
340	0.6264514885
341	0.6263578761
342	0.6262245009
343	0.6261447288
344	0.6260195479
345	0.6259273798
346	0.6258447062
347	0.6257412978
348	0.6256329858
349	0.625500242
350	0.6254057429
351	0.6253177687
352	0.625232637
353	0.6251298841
354	0.6250676468
355	0.6249650072
356	0.6248654485
357	0.6247523509
358	0.6246592262
359	0.6245569823
360	0.6244656424
361	0.6243635073
362	0.6242547139
363	0.6241668035
364	0.6240800192
365	0.6239909886
366	0.6238983679
367	0.6238080202
368	0.6237161647
369	0.6236389301
370	0.6235486005
371	0.6234666464
372	0.6233892075
373	0.6233337213
374	0.6232422507
375	0.6231559773
376	0.6230824365
377	0.6229921531
378	0.6229103984
379	0.6227990261
380	0.6227068511
381	0.6225749747
382	0.6224619277
383	0.6223416715
384	0.6222149845
385	0.6221017418
386	0.621983261
387	0.6219126313
388	0.6218507864
389	0.6217383691
390	0.6216613324
391	0.6216267464
392	0.6215599829
393	0.621449609
394	0.6213336619
395	0.6212669127
396	0.6211743503
397	0.6210959561
398	0.62101514
399	0.620940609
400	0.6208266338
401	0.620744223
402	0.6206763161
403	0.6205608402
404	0.6204841731
405	0.6204050432
406	0.6203304435
407	0.6202418463
408	0.6201639551
409	0.6200683645
410	0.6199522552
411	0.6198254769
412	0.6197659297
413	0.6196889625
414	0.6196231821
415	0.6195465313
416	0.6194586163
417	0.6193858321
418	0.6192447364
419	0.6191560913
420	0.6190571398
421	0.6189506996
422	0.618860631
423	0.6187941464
424	0.6186871442
425	0.6186335988
426	0.6185656703
427	0.618472118
428	0.6183283211
429	0.6182433954
430	0.6181692426
431	0.6180620281
432	0.617999915
433	0.617894465
434	0.6177835298
435	0.6177161995
436	0.6176421241
437	0.6175648246
438	0.6174932834
439	0.6173824054
440	0.6173042752
441	0.6172316052
442	0.617151957
443	0.6170304231
444	0.6169418082
445	0.6168792377
446	0.6168193021
447	0.6167355993
448	0.6166507884
449	0.6166050176
450	0.6165378361
451	0.6164682402
452	0.6163615454
453	0.6162602077
454	0.6161552512
455	0.6160552843
456	0.6159476329
457	0.6158824781
458	0.6157944909
459	0.6157379659
460	0.6156482386
461	0.6155563903
462	0.6154744927
463	0.6153963857
464	0.6153196113
465	0.6152334301
466	0.6151231334
467	0.6150486072
468	0.6149618096
469	0.6148407036
470	0.6147391696
471	0.6146579906
472	0.6145846381
473	0.6145178836
474	0.6144591063
475	0.6144043605
476	0.614330355
477	0.6142611128
478	0.6141561124
479	0.6140748249
480	0.6140118704
481	0.6139040471
482	0.6137968627
483	0.6137069156
484	0.6135905449
485	0.613474155
486	0.6133998552
487	0.6132654653
488	0.6131715041
489	0.6130943649
490	0.6130226607
491	0.6129551785
492	0.6128960523
493	0.6127939376
494	0.6126760042
495	0.6125727449
496	0.6124648238
497	0.6123858379
498	0.6123235914
499	0.6122448494
500	0.6121774792
501	0.6120848611
502	0.6119911653
503	0.6118955807
504	0.611808552
505	0.611735572
506	0.6116990812
507	0.6116327643
508	0.611530225
509	0.6114340704
510	0.6113178427
511	0.6112198338
512	0.6110955652
513	0.61101259
514	0.6109397166
515	0.610854037
516	0.6107940522
517	0.6106842015
518	0.6105862068
519	0.6105335131
520	0.6104367008
521	0.6103725301
522	0.6103087877
523	0.6102399241
524	0.6101461636
525	0.610078002
526	0.6099848215
527	0.6099237447
528	0.6098277587
529	0.609764829
530	0.6096618709
531	0.6095556755
532	0.6094699766
533	0.6093876592
534	0.6093090953
535	0.6092262499
536	0.6091448181
537	0.6090524983
538	0.6089898299
539	0.6089166202
540	0.608819948
541	0.6087404316
542	0.6086522477
543	0.6085815424
544	0.6084881061
545	0.6084400908
546	0.6083739504
547	0.6083027603
548	0.608229705
549	0.6081163271
550	0.6080587871
551	0.6079851827
552	0.6079049146
553	0.6078482064
554	0.6077434746
555	0.6076356501
556	0.6075399432
557	0.6074753083
558	0.6073833394
559	0.607296414
560	0.6072279754
561	0.607160979
562	0.60710625
563	0.6070258073
564	0.6069286732
565	0.6068564277
566	0.6067567152
567	0.6066924673
568	0.6066046423
569	0.6065054137
570	0.6064154108
571	0.6063483449
572	0.6062613348
573	0.6061836318
574	0.6061348894
